value_type,variable,year,n_all,n,sd,mean,se,cv,error_type,error_level,error,lower,upper,variable_label
model,nox_co2,2019,17,17,0.0052965830402628275,0.020576117764705883,0.0012846100782269857,0.2574141099322454,se,NA,0.0012846100782269857,0.019291507686478897,0.02186072784293287,Modelled
value,nox_co2,2019,17,17,0.008167559172419098,0.0208971568627451,0.0019809240689039,0.3908454736720671,se,NA,0.0019809240689039,0.0189162327938412,0.022878080931649003,Measured
model,sfc,2019,26,26,0.8892860328573926,1.6146848115384616,0.17440333979636,0.550748992312677,se,NA,0.17440333979636,1.4402814717421015,1.7890881513348216,Modelled
value,sfc,2019,26,26,2.638506347750959,2.9191039236258463,0.5174536674584835,0.9038754414997482,se,NA,0.5174536674584835,2.401650256167363,3.4365575910843296,Measured
model,sfc,2021,84,84,0.16344543847940388,0.30478571428571427,0.0178333593768361,0.5362634494285574,se,NA,0.0178333593768361,0.28695235490887816,0.3226190736625504,Modelled
value,sfc,2021,84,84,0.3336637587872513,0.22385577970546824,0.036405700745382526,1.4905300154691548,se,NA,0.036405700745382526,0.18745007896008573,0.2602614804508508,Measured
